home,away,won,home_attack,home_deffense,away_attack,away_deffense,home_id,away_id
1,1,draw,1.0763644210526315,1.2173616842105264,1.5138173157894736,0.831302947368421,41,49
2,1,home,1.1979285263157895,1.1421443157894737,1.112908,1.3578454736842105,48,47
1,0,home,1.1308949736842104,1.2112308947368422,1.315919947368421,1.4581814210526316,39,63
0,0,draw,1.5138173157894736,0.831302947368421,1.4262978684210526,1.0722211578947367,49,33
0,0,draw,0.8908619736842105,1.353819894736842,1.1328612105263158,1.1503959736842104,52,36
1,0,home,1.0274163157894738,1.233633447368421,1.0763644210526315,1.2173616842105264,45,41
0,1,away,1.315919947368421,1.4581814210526316,1.3456919736842106,1.3521605789473683,63,66
1,3,away,1.3476432368421052,0.9601127894736842,1.185106657894737,1.014207052631579,46,42
2,1,home,1.590960947368421,0.8525350789473685,1.1979285263157895,1.1421443157894737,50,48
1,1,draw,1.058699342105263,1.4024461052631578,1.1308949736842104,1.2112308947368422,34,39
0,2,away,0.8389786578947368,1.3351425789473683,1.5539092631578948,0.9581219736842105,62,40
4,0,home,1.112908,1.3578454736842105,0.9325241052631579,1.3685032105263157,47,44
1,0,home,0.8425862105263158,1.6121498157894736,1.3265687631578946,0.9644233157894737,60,51
0,0,draw,1.3456919736842106,1.3521605789473683,1.1308949736842104,1.2112308947368422,66,39
1,2,away,1.3265687631578946,0.9644233157894737,1.3476432368421052,0.9601127894736842,51,46
1,1,draw,0.9325241052631579,1.3685032105263157,1.185106657894737,1.014207052631579,44,42
2,0,home,1.5138173157894736,0.831302947368421,1.0274163157894738,1.233633447368421,49,45
0,1,away,1.5539092631578948,0.9581219736842105,1.1328612105263158,1.1503959736842104,40,36
0,2,away,1.590960947368421,0.8525350789473685,1.4262978684210526,1.0722211578947367,50,33
0,2,away,0.8389786578947368,1.3351425789473683,1.0763644210526315,1.2173616842105264,62,41
4,1,home,1.112908,1.3578454736842105,0.8908619736842105,1.353819894736842,47,52
0,0,draw,0.8425862105263158,1.6121498157894736,1.058699342105263,1.4024461052631578,60,34
2,0,home,1.1979285263157895,1.1421443157894737,1.315919947368421,1.4581814210526316,48,63
2,1,home,1.185106657894737,1.014207052631579,1.112908,1.3578454736842105,42,47
1,0,home,0.8908619736842105,1.353819894736842,0.8425862105263158,1.6121498157894736,52,60
1,2,away,1.0274163157894738,1.233633447368421,0.9325241052631579,1.3685032105263157,45,44
0,3,away,1.1328612105263158,1.1503959736842104,1.590960947368421,0.8525350789473685,36,50
0,0,draw,1.315919947368421,1.4581814210526316,1.5138173157894736,0.831302947368421,63,49
5,0,home,1.3476432368421052,0.9601127894736842,0.8389786578947368,1.3351425789473683,46,62
1,0,home,1.4262978684210526,1.0722211578947367,1.1979285263157895,1.1421443157894737,33,48
1,1,draw,1.058699342105263,1.4024461052631578,1.3456919736842106,1.3521605789473683,34,66
1,2,away,1.0763644210526315,1.2173616842105264,1.3265687631578946,0.9644233157894737,41,51
0,1,away,1.1308949736842104,1.2112308947368422,1.5539092631578948,0.9581219736842105,39,40
3,0,home,1.3265687631578946,0.9644233157894737,1.058699342105263,1.4024461052631578,51,34
1,1,draw,0.9325241052631579,1.3685032105263157,1.3476432368421052,0.9601127894736842,44,46
0,0,draw,0.8908619736842105,1.353819894736842,1.4262978684210526,1.0722211578947367,52,33
1,2,away,1.1328612105263158,1.1503959736842104,1.315919947368421,1.4581814210526316,36,63
0,1,away,1.5539092631578948,0.9581219736842105,1.5138173157894736,0.831302947368421,40,49
4,1,home,1.590960947368421,0.8525350789473685,1.1308949736842104,1.2112308947368422,50,39
1,0,home,0.8389786578947368,1.3351425789473683,1.3456919736842106,1.3521605789473683,62,66
2,1,home,1.112908,1.3578454736842105,1.0763644210526315,1.2173616842105264,47,41
0,1,away,0.8425862105263158,1.6121498157894736,1.0274163157894738,1.233633447368421,60,45
3,3,draw,1.1979285263157895,1.1421443157894737,1.185106657894737,1.014207052631579,48,42
0,3,away,1.185106657894737,1.014207052631579,1.5539092631578948,0.9581219736842105,42,40
3,1,home,1.3456919736842106,1.3521605789473683,1.1328612105263158,1.1503959736842104,66,36
2,5,away,1.5138173157894736,0.831302947368421,0.8425862105263158,1.6121498157894736,49,60
1,1,draw,1.0274163157894738,1.233633447368421,0.8908619736842105,1.353819894736842,45,52
2,1,home,1.315919947368421,1.4581814210526316,0.8389786578947368,1.3351425789473683,63,62
0,2,away,1.3476432368421052,0.9601127894736842,1.590960947368421,0.8525350789473685,46,50
2,1,home,1.4262978684210526,1.0722211578947367,1.3265687631578946,0.9644233157894737,33,51
2,2,draw,1.058699342105263,1.4024461052631578,1.112908,1.3578454736842105,34,47
3,2,home,1.0763644210526315,1.2173616842105264,0.9325241052631579,1.3685032105263157,41,44
2,3,away,1.1308949736842104,1.2112308947368422,1.1979285263157895,1.1421443157894737,39,48
0,0,draw,1.3265687631578946,0.9644233157894737,1.0274163157894738,1.233633447368421,51,45
1,2,away,0.9325241052631579,1.3685032105263157,1.058699342105263,1.4024461052631578,44,34
1,4,away,0.8908619736842105,1.353819894736842,1.5138173157894736,0.831302947368421,52,49
0,1,away,1.1328612105263158,1.1503959736842104,1.1308949736842104,1.2112308947368422,36,39
2,1,home,1.5539092631578948,0.9581219736842105,1.3456919736842106,1.3521605789473683,40,66
1,2,away,1.590960947368421,0.8525350789473685,1.315919947368421,1.4581814210526316,50,63
0,3,away,0.8389786578947368,1.3351425789473683,1.185106657894737,1.014207052631579,62,42
